Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Name
Ticker,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,
Date,,,,,,,,,,,,,,,,,,,,,
2013-02-25,33.96446228027344,40.22814178466797,39.56460189819336,42.15888595581055,34.86676688363356,41.05129213688759,40.55459398312634,42.88481819096188,33.946173060660676,40.18388707919309,39.53832001678674,42.15278439428645,34.598514917993256,40.86541697162494,40.44945977339981,42.41509569028945,3328200,4008000,554300,3210300,MRK
2013-02-26,34.04636764526367,39.78558349609375,40.3005256652832,42.45170593261719,34.42822079138043,40.39630646626451,40.423178904319094,42.67131565887731,33.87391935310241,39.46694425029432,39.61716999519748,42.24429933233201,34.04020978458582,40.36090135530519,39.73982323423337,42.3236010346536,2497200,4375900,502800,2123900,MRK
2013-02-27,34.372802734375,41.21059799194336,41.027687072753906,42.78110122680664,34.428232897694215,42.04259765637001,41.40440628616286,42.860407547488265,34.046379617302904,40.90080840441496,40.10778113748681,42.42728985330092,34.120288068016926,40.962765646637344,40.151588728347114,42.53709466690664,1812800,6093000,866600,2327500,MRK
2013-02-28,34.48982620239258,41.015872955322266,41.71980285644531,42.24431610107422,34.65611671780036,41.31680957632822,42.68351305511172,42.7628374617414,34.268105515182214,40.78574653992545,41.439451649355085,42.2016144514694,34.39744179957727,41.04242509421747,42.271745757551066,42.74453741964373,2527200,5017900,1723100,5066900,MRK
2013-03-01,34.74849319458008,42.10456085205078,42.28926467895508,42.24431610107422,34.76081126960745,42.122263406105475,42.49076688374957,42.25651457776241,34.18187583991631,40.57332537869772,41.31679504647533,41.51228649238299,34.385120553719126,40.94506888459544,41.60590908512595,41.731896305816505,2239700,4134700,863100,5228500,MRK
2013-03-04,34.742332458496094,43.06047821044922,42.60466766357422,42.52490997314453,34.8408747011328,43.11358249582385,42.79740704592792,42.66521799459881,34.508293751196774,42.09571096794605,42.000157606870914,41.90268552917706,34.723856522199334,42.13111269939016,42.29803120729058,42.030790424872464,3792700,5396300,722100,2630200,MRK
2013-03-05,34.80392074584961,43.29945755004883,43.47200393676758,42.79942321777344,35.03180159260732,43.36141818174002,43.5158081906394,42.9275281097711,34.7423327247668,42.768394397295225,42.87625672636993,42.51880718296483,34.908623201009284,43.14899089478828,42.885019582374504,42.62861204098121,2731700,2875000,717600,2129600,MRK
2013-03-06,34.773128509521484,42.66218185424805,43.629695892333984,42.62860870361328,34.970213006361135,43.54728934758756,43.97137370416604,42.82991836990435,34.63147417425752,42.617927154864496,43.43695653353506,42.48830535132192,34.883988832672856,43.44992698309347,43.43695653353506,42.82381680767871,1718100,3143400,408800,2000800,MRK
2013-03-07,34.40975570678711,42.00720977783203,43.507057189941406,42.42731475830078,34.86551510298289,42.79495507459366,43.76988610665177,42.67742302525085,34.39743763127558,41.96295506901512,43.36688154489248,42.37851155602239,34.797766862385835,42.35240123358889,43.620950945934595,42.67742302525085,2064500,3482800,370200,2472100,MRK
2013-03-08,34.40975570678711,42.29928207397461,43.57712936401367,42.482208251953125,34.47134608434474,42.45860167088129,43.761109198384105,42.56761151557055,34.151083169343075,41.945237774978274,43.47199516547371,42.13449363461682,34.42207378229863,42.23732482811275,43.72606446553745,42.45170509174884,2671700,2538600,536700,1756700,MRK
2013-03-11,34.67458724975586,42.024898529052734,43.69978713989258,42.573707580566406,34.67458724975586,42.57366416620066,43.69978713989258,42.57980914264508,34.409754509057976,41.99834638777006,43.36686882726282,42.40899798333959,34.42823279639842,42.29928303583507,43.36686882726282,42.415099545418265,1681400,2743800,481300,1294700,MRK
2013-03-12,34.502132415771484,42.27274703979492,43.524574279785156,42.421199798583984,34.67458073566821,42.458622243861484,43.91881927801793,42.57980782883825,34.36663596474854,42.03377090505762,43.323072023366315,42.2808917998729,34.67458073566821,42.04262049743303,43.74359890746441,42.56760470505743,1154100,2714400,548100,1872000,MRK
2013-03-13,34.699222564697266,42.51171112060547,43.82363510131836,42.646915435791016,34.79776481355481,42.57366837399979,43.91159770002201,42.762817198867225,34.38511988066151,42.06915738126486,43.40140858753639,42.34799937606598,34.48981999219592,42.228476997540845,43.49816945944522,42.42730572641809,1922500,2340700,305600,2299900,MRK
2013-03-14,34.70537567138672,43.16669464111328,43.94679260253906,42.65911865234375,34.79776004490714,43.219802308420846,43.95559087745014,42.80552359016978,34.6191515091315,42.352393957816986,43.48937961836493,42.488312115858534,34.73617202884834,42.49401102755321,43.95559087745014,42.69571872326799,2076200,3169600,374400,2090300,MRK
2013-03-15,34.97637176513672,42.64447021484375,43.82363510131836,42.67131805419922,35.142662242954216,43.12242896976971,43.973175545784216,42.701821216719964,34.44054610902508,42.299278906202694,43.59493033135406,42.25040326701366,34.56372450178979,43.05161876470672,43.91159770002201,42.36020813630754,4006900,3069900,491600,3299800,MRK
2013-03-18,34.75464630126953,42.58252716064453,43.94679260253906,42.470008850097656,34.896300610974436,42.82150661772719,44.11392627026268,42.67741544173162,34.68074021564786,42.1576759179701,43.11113433059707,42.396804059688115,34.711534222204214,42.25503829416128,43.39262208325389,42.445607253294476,1380500,1830700,1422200,1461500,MRK
2013-03-19,34.94558334350586,42.281585693359375,44.24586868286133,42.646915435791016,35.025647314590806,42.679884743767055,44.4217972639292,42.82381886166448,34.730020534332354,42.007201152763606,43.70928802060568,42.42730572641809,34.7916109152817,42.591371967889145,44.17549926376933,42.56150752292062,1683800,5279300,474900,1773800,MRK
2013-03-20,35.22888946533203,44.069515228271484,44.808834075927734,42.945838928222656,35.296637704694035,44.29079216348906,44.85281873454394,43.08614232673098,35.06259897310693,42.61793907347112,44.08752996799192,42.683527515652905,35.06259897310693,42.71529808877567,44.65049870047272,42.720127592806406,2168700,5946300,429500,1829000,MRK
2013-03-21,35.056427001953125,44.08720016479492,44.72087478637695,42.86043167114258,35.40748615629616,44.17570955293388,44.905598286254396,43.00683662031081,35.00715706676424,43.29945175412457,44.3514244310635,42.62861879298602,35.105699286573845,43.73315585940562,44.45698359290082,42.81162847004337,2032500,3240000,337200,2461300,MRK
2013-03-22,34.96405029296875,44.31732177734375,45.028751373291016,43.07392883300781,35.13034075462547,44.68906859519194,45.08153095900031,43.080030395115806,34.896302066060585,44.034087714419584,44.77365843125996,42.7445142910998,35.04411659289951,44.33502432832856,44.77365843125996,42.85431913840247,1901400,6403900,338500,2019400,MRK
2013-03-25,35.01948165893555,45.21129608154297,44.9583854675293,42.87261962890625,35.18577212634785,46.8310411712127,45.20468350900334,43.29964055259404,34.82239718261703,44.1137612143322,44.52736053939058,42.75061631021161,35.10570582364586,46.49469935081333,45.17829539186231,43.12882939064196,2199100,10543200,287500,2152400,MRK
2013-03-26,35.46908950805664,46.22031021118164,45.019962310791016,43.28133773803711,35.56763177049976,46.29111704852145,45.18709265394335,43.336242491714174,35.037966228830676,45.29094472591825,44.483381530723896,42.97022786567147,35.08107832180999,45.34405238623573,45.11672321940107,42.98242633641722,1960700,4110500,310500,2505500,MRK
2013-03-27,35.43213653564453,45.096221923828125,45.019962310791016,43.75107955932617,35.53683901476091,45.636137968698804,45.05514870584182,43.83038128938723,35.27816409827506,44.78643231334628,44.39541889865621,43.03124846126322,35.37670636421421,45.034264677015095,44.74727278248628,43.098351715211244,1423000,7721400,225400,2954800,MRK
2013-03-28,35.832454681396484,44.76873779296875,45.2486686706543,44.28179931640625,35.87556676251274,44.89265229948224,45.45098541557835,44.33670409417274,35.43828574008661,44.46780111582867,44.993575686960135,43.71447942231257,35.46292188627653,44.5209054035247,45.13431791627946,43.805979628372505,1832300,33355800,438100,2971600,MRK
2013-04-01,35.838619232177734,44.80413818359375,44.72087478637695,44.11708450317383,35.89404939673448,45.02541504614309,45.653293915921786,44.269591018278014,35.68464681390151,44.47664937241748,44.703281592737405,43.96457798806964,35.82630115678372,44.93690565169014,45.24865717332923,44.26348945451759,1124300,4970100,473300,1691600,MRK
2013-04-02,36.10344314575195,44.73332977294922,44.0611572265625,44.300086975097656,36.14655522436599,44.9280511091934,45.0375579306011,44.3244885720396,35.87556468030175,44.609415274498325,44.02597082961925,44.10487885369085,35.91867675891579,44.901498967073024,44.861629301444324,44.22688218427183,1525500,2790300,538900,2077900,MRK
2013-04-03,36.18352127075195,44.361595153808594,43.674110412597656,43.74496078491211,36.32517562528423,44.90151136882625,44.35142999715161,44.324488236101324,36.09113687241519,44.29078829645852,43.26947361922333,43.65955752332695,36.21431528705326,44.85725666093023,44.017169342726255,44.11097542800974,2210500,2804700,546600,3975000,MRK
2013-04-04,36.6392707824707,44.90150833129883,45.05514144897461,43.793766021728516,36.68854072532971,44.91036129812981,45.12551087218275,43.90357088519388,36.232783768797034,44.37044511963676,43.322250360765196,43.69006272126926,36.232783768797034,44.45010493902783,43.3486384750234,43.69006272126926,2275900,2929400,670400,4730300,MRK
2013-04-05,36.72549057006836,44.60940933227539,44.465789794921875,43.95236587524414,36.750124363847554,44.62710850705344,44.615330301023974,43.988965938189864,36.40522775661953,44.18455485644125,44.10513762269373,43.46434331670362,36.42986389983066,44.45893933533072,44.24587985196424,43.51314650338328,2656500,3662400,417000,3556100,MRK
