Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume,Name
Ticker,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,
Date,,,,,,,,,,,
2013-09-12,4.172500133514404,,4.196249961853027,,4.152500152587891,,4.171249866485596,,4235200,,HON
2013-09-13,4.171249866485596,,4.202499866485596,,4.151249885559082,,4.159999847412109,,3073600,,HON
2013-09-16,4.159999847412109,,4.224999904632568,,4.15500020980835,,4.21875,,4332800,,HON
2013-09-17,4.206250190734863,,4.207499980926514,,4.159999847412109,,4.159999847412109,,4963200,,HON
2013-09-18,4.18625020980835,,4.216249942779541,,4.152500152587891,,4.190000057220459,,5473600,,HON
2013-09-19,4.25124979019165,,4.263750076293945,,4.1875,,4.202499866485596,,5298400,,HON
2013-09-20,4.21875,,4.28000020980835,,4.198750019073486,,4.260000228881836,,13259200,,HON
2013-09-23,4.292500019073486,,4.336249828338623,,4.25124979019165,,4.304999828338623,,15673600,,HON
2013-09-24,4.261250019073486,,4.338749885559082,,4.255000114440918,,4.31125020980835,,11031200,,HON
2013-09-25,3.882499933242798,,4.023749828338623,,3.8112499713897705,,3.9674999713897705,,48516800,,HON
2013-09-26,3.8737499713897705,,3.9049999713897705,,3.8125,,3.8787500858306885,,11876000,,HON
2013-09-27,3.8737499713897705,,3.924999952316284,,3.815000057220459,,3.841249942779541,,19251200,,HON
2013-09-30,3.973750114440918,,3.994999885559082,,3.797499895095825,,3.838749885559082,,18053600,,HON
2013-10-01,4.101250171661377,,4.105000019073486,,3.956249952316284,,3.984999895095825,,21473600,,HON
2013-10-02,4.144999980926514,,4.146249771118164,,4.014999866485596,,4.047500133514404,,10067200,,HON
2013-10-03,4.137499809265137,,4.1875,,4.122499942779541,,4.147500038146973,,14792000,,HON
2013-10-04,4.133749961853027,,4.15625,,4.12624979019165,,4.128749847412109,,6692000,,HON
2013-10-07,4.065000057220459,,4.146249771118164,,4.06374979019165,,4.107500076293945,,6379200,,HON
2013-10-08,4.003749847412109,,4.073750019073486,,3.992500066757202,,4.073750019073486,,9096800,,HON
2013-10-09,3.9987499713897705,,4.042500019073486,,3.9862499237060547,,4.042500019073486,,6373600,,HON
2013-10-10,4.048749923706055,,4.086249828338623,,4.022500038146973,,4.046249866485596,,7916000,,HON
2013-10-11,4.072500228881836,,4.072500228881836,,4.018750190734863,,4.050000190734863,,5887200,,HON
2013-10-14,4.108749866485596,,4.122499942779541,,4.06125020980835,,4.06125020980835,,4966400,,HON
2013-10-15,4.048749923706055,,4.122499942779541,,4.041250228881836,,4.107500076293945,,5791200,,HON
2013-10-16,4.06125020980835,,4.111249923706055,,4.053750038146973,,4.0625,,3906400,,HON
2013-10-17,4.079999923706055,,4.082499980926514,,4.043749809265137,,4.056250095367432,,4135200,,HON
2013-10-18,4.067500114440918,,4.112500190734863,,4.053750038146973,,4.09499979019165,,5564800,,HON
2013-10-21,4.106249809265137,,4.106249809265137,,4.070000171661377,,4.070000171661377,,3418400,,HON
2013-10-22,4.086249828338623,,4.138750076293945,,4.077499866485596,,4.112500190734863,,3360800,,HON
2013-10-23,4.042500019073486,,4.083749771118164,,4.025000095367432,,4.082499980926514,,4550400,,HON
2013-10-24,4.056250095367432,,4.068749904632568,,4.026249885559082,,4.057499885559082,,3097600,,HON
2013-10-25,4.083749771118164,,4.083749771118164,,4.023749828338623,,4.051249980926514,,3345600,,HON
2013-10-28,4.086249828338623,,4.105000019073486,,4.057499885559082,,4.083749771118164,,7696800,,HON
2013-10-29,4.099999904632568,,4.116250038146973,,4.071249961853027,,4.102499961853027,,4879200,,HON
2013-10-30,4.041250228881836,,4.107500076293945,,4.041250228881836,,4.09499979019165,,6880800,,HON
